S no,AICTE Id,Institute Name,Institute Type,Address,State,District,City
25,1-44644554284,SHRI MAHAVIR ARTS COMMERCE AND SCIENCE COLLEGE LASALGAON,Private-Self Financing,LASALGAON TAL NIPHAD LASALGAON,Maharashtra,NASHIK,LASALGAON
26,1-44643863038,SMT H R PATEL ARTS MAHILA COLLEGE SHIRPUR,Govt aided,OPPOSITE TELEPHONE EXCHANGE SHIRPUR,Maharashtra,DHULE,SHIRPUR
27,1-44644988324,THE EAST KALYAN WELFARE SOCIETYS MODEL COLLEGE OF SCIENCE AND COMMERCE,Private-Self Financing,"RAJBHAR NAGAR, CHINCHPADA ROAD, KATEMANIVALI P.O., KALYAN EAST",Maharashtra,THANE,KALYAN
28,1-44641297698,V M INSTITUTE OF ENGINEERING & TECHNOLOGY,Private-Self Financing,"WARDHA ROAD (NH-7), NEAR DONGARGOAN NAGPUR",Maharashtra,NAGPUR,NAGPUR/DONGARGOAN/
29,1-9331726942,BARABATI INSTITUTE OF MANAGEMENT STUDIES,Private-Self Financing,"PLOT NO : 242, BISWALPADA PO: KHADEITA VIA: GOPALPUR DIST : CUTTACK PIN: 753 011",Odisha,CUTTACK,CUTTACK
30,1-44644332334,INDIRA COLLEGE OF COMMERCE AND SCIENCE,Western,'DHRUV	PUNE,COMPUTER APPLICATIONS,UG,
31,1-44644332334,INDIRA COLLEGE OF COMMERCE AND SCIENCE,Western,'DHRUV	PUNE,MANAGEMENT,UG,
32,1-44638819344,BABA FARID COLLEGE,Private-Self Financing,"BATHINDA-MUKTSAR ROAD, DEON., BATHINDA",Punjab,BATHINDA,DEON
33,1-44642878585,BABA FARID COLLEGE OF MANAGEMENT & TECHNOLOGY,Private-Self Financing,"VILLAGE- DEON, MUKTSAR ROAD, BATHINDA.",Punjab,BATHINDA,BATHINDA
34,1-44644764254,CORDIA INSTITUTE OF BUSINESS MANAGEMENT,Private-Self Financing,VPO SANGHOL TEH: KHAMMANO,Punjab,FATEHGARH SAHIB,SANGHOL
35,1-44645496221,PUNJAB COLLEGE OF ENGINEERING & TECHNOLOGY,Private-Self Financing,"VILLAGE MALAKPUR, LALRU MANDI DISTRICT SAS NAGAR (MOHALI) PUNJAB-140501",Punjab,MOHALI,"MALAKPUR, LALRU MANDI"
36,1-44641542821,APEX POLYTECHNIC INSTITUTE,Private-Self Financing,"ISI-7, INSTITUTIONAL AREA, SITAPURA, JAIPUR",Rajasthan,JAIPUR,JAIPUR
37,1-44638248331,JAIPUR INSTITUTE OF TECHNOLOGY- GROUP OF INSTITUTIONS,Private-Self Financing,"NEWTA-KALWARA ROAD,",Rajasthan,JAIPUR,JAIPUR
38,1-44640167357,JIET INSTITUTE OF DESIGN AND TECHNOLOGY,Private-Self Financing,"JIET UNIVERSE, N. H. - 65 PALI ROAD, MOGRA",Rajasthan,JODHPUR,JODHPUR
39,1-44640521897,N.P.R POLYTECHNIC COLLEGE,Private-Self Financing,N.P.R NAGAR PUNNAPATTI POST ULUPPAGUDI NATHAM,Tamil Nadu,DINDIGUL,NATHAM
40,1-44640544322,SRI DURGADEVI POLYTECHNIC COLLEGE,Private-Self Financing,"R.S.M. NAGAR, KAVARAIPETTAI, GUMMIDIPOONDI TALUK",Tamil Nadu,THIRUVALLUR,KAVARAIPETTAI
41,1-44638648469,AVANTHI'S SCHOOL OF BUSINESS MANAGEMENT,Private-Self Financing,"#16-11-742, MOOSARAMBAGH, DILSUKHNAGAR,HYDERABAD",Telangana,HYDERABAD,HYDERABAD
